"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Moustakas","Royals","103","449","405","106","23","1","19","58","58","33","70","4","2","1","",".260",".321",".461",".782",".334","","107","-0.9","2.5","","2.6","2.5","2.1","4892"
"Jason Heyward","Cubs","90","374","327","88","17","2","9","43","42","39","59","3","8","4","",".268",".350",".418",".767",".334","","107","1.2","9.5","","4.4","7.1","2.4","4940"
"Jayson Werth","Nationals","96","405","349","89","18","0","13","49","45","47","96","4","4","2","",".256",".349",".417",".766",".334","","106","0.3","-5.0","","3.2","-9.2","0.7","1327"
"Aledmys Diaz","Cardinals","103","444","404","113","24","2","13","55","51","30","60","4","7","4","",".280",".334",".446",".780",".333","","108","-0.6","-4.8","","3.6","-0.5","1.8","15937"
"Justin Bour","Marlins","105","426","375","97","18","1","17","49","57","44","85","2","1","1","",".259",".338",".448",".786",".333","","107","-1.5","-1.0","","2.4","-8.1","0.8","9744"
"Evan Longoria","Rays","109","474","427","112","23","1","19","57","64","40","100","4","1","1","",".262",".328",".457",".785",".333","","111","-0.1","4.3","","6.2","4.6","2.8","9368"
"Billy Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".272",".344",".426",".770",".333","","-100","0.0","0.0","","0.0","0.0","","7399"
"Steve Pearce","Blue Jays","90","366","324","81","17","1","15","45","48","33","78","4","2","1","",".251",".326",".448",".775",".332","","106","0.0","-0.9","","2.7","-4.7","1.1","9957"
"Joe Mauer","Twins","91","397","345","95","18","2","8","47","43","47","67","2","1","1","",".276",".362",".405",".767",".332","","106","-0.8","0.4","","2.0","-5.8","1.0","1857"
"Starling Marte","Pirates","50","214","195","55","11","1","5","26","25","12","46","5","12","5","",".282",".337",".437",".774",".332","","108","0.7","0.4","","2.9","1.2","1.1","9241"
"Neil Walker","Mets","99","415","369","96","17","2","15","48","53","38","77","4","2","1","",".260",".334",".440",".774",".332","","109","0.1","-2.6","","5.0","-1.0","1.8","7539"
"Jorge Soler","Royals","85","345","302","77","16","1","12","40","42","36","84","3","1","1","",".255",".337",".434",".771",".332","","105","0.1","-2.5","","2.2","-6.3","0.8","14221"
"Victor Martinez","Tigers","107","453","408","113","20","0","15","54","60","37","65","4","1","0","",".277",".341",".436",".777",".332","","107","-4.3","0.0","","-0.8","-11.2","0.3","393"
"Jake Lamb","Diamondbacks","105","444","390","98","20","4","16","52","57","47","117","3","4","3","",".251",".334",".444",".778",".332","","100","1.0","-3.0","","1.0","-1.4","1.4","13329"
"Troy Tulowitzki","Blue Jays","84","353","315","82","16","0","13","43","46","31","67","4","1","1","",".260",".331",".441",".772",".331","","106","-0.9","1.0","","1.5","4.6","1.9","3531"
"David Peralta","Diamondbacks","97","414","376","103","21","5","11","49","48","29","84","3","6","4","",".275",".330",".444",".773",".331","","100","0.5","-1.4","","0.3","-5.5","0.8","2136"
"Christin Stewart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".322",".451",".773",".331","","106","0.0","0.0","","0.0","0.0","0.0","sa858826"
"Melky Cabrera","White Sox","111","482","439","126","25","2","11","55","55","36","59","2","2","1","",".286",".340",".427",".767",".331","","106","-1.8","-7.1","","1.6","-12.2","0.6","4022"
"Kennys Vargas","Twins","57","234","205","50","9","1","10","28","31","25","63","1","1","0","",".245",".329",".441",".770",".331","","105","-0.2","0.1","","1.2","-4.6","0.5","12101"
"Nomar Mazara","Rangers","106","448","404","110","18","2","15","54","57","35","84","4","2","2","",".272",".334",".436",".770",".330","","102","-0.3","1.9","","0.9","-3.4","1.3","14553"
"Yonder Alonso","Athletics","101","412","364","98","21","1","11","46","47","40","63","2","3","2","",".270",".343",".422",".765",".330","","110","-1.2","2.0","","3.8","-4.7","1.3","2530"
"Jedd Gyorko","Cardinals","88","357","322","82","14","1","16","41","50","29","78","2","2","1","",".255",".318",".455",".773",".330","","105","-0.4","-0.4","","2.0","0.6","1.4","10816"
"Chris Young","Red Sox","68","272","241","61","16","0","9","33","35","25","57","3","4","2","",".253",".328",".440",".767",".330","","101","0.0","-1.6","","0.4","-4.3","0.6","3882"
"Yandy Diaz","Indians","19","75","65","18","3","0","1","8","8","8","13","0","1","0","",".280",".359",".391",".750",".330","","105","-0.1","0.1","","0.4","0.2","0.3","16578"
"Rougned Odor","Rangers","112","467","434","115","22","4","20","59","67","22","86","6","11","7","",".266",".308",".471",".779",".330","","102","0.9","-4.1","","2.0","-2.4","1.6","12282"
"Stephen Piscotty","Cardinals","95","404","359","95","21","1","11","46","48","36","80","5","6","4","",".264",".337",".424",".760",".330","","105","-1.2","0.0","","1.3","-3.9","1.0","13367"
"Nick Castellanos","Tigers","98","411","373","99","21","4","13","50","51","31","101","2","2","2","",".265",".323",".448",".771",".330","","105","-1.3","-7.3","","1.2","-5.8","1.0","11737"
"Tommy Joseph","Phillies","105","429","392","99","19","0","21","49","61","29","91","4","2","2","",".253",".309",".464",".773",".330","","104","-0.6","0.6","","1.7","-6.2","0.9","10349"
"Matt Adams","Cardinals","39","156","142","37","8","0","6","18","21","11","37","1","1","1","",".264",".318",".454",".772",".329","","105","-0.2","0.2","","0.7","-0.5","0.5","9393"
"Chris Carter","Yankees","52","212","182","39","7","1","11","27","30","25","69","2","1","1","",".217",".318",".449",".766",".329","","105","-0.5","-0.9","","0.8","-3.6","0.5","9911"
"Oswaldo Arcia","Diamondbacks","2","10","9","2","0","0","0","1","1","1","3","0","0","0","",".247",".308",".467",".775",".329","","98","0.0","-0.1","","0.0","-0.2","0.0","10306"
"Trey Mancini","Orioles","75","303","278","75","13","1","11","35","38","19","74","2","2","1","",".270",".320",".449",".769",".329","","103","-0.1","-0.4","","1.0","-4.6","0.7","15149"
"Joey Gallo","Rangers","75","296","253","54","9","2","16","38","42","36","109","2","3","2","",".214",".316",".456",".771",".329","","101","0.7","0.3","","1.1","1.4","1.3","14128"
"Adam Jones","Orioles","108","481","445","120","20","1","21","63","63","25","90","5","3","1","",".269",".313",".456",".769",".328","","103","0.9","-3.2","","2.4","-1.6","1.8","6368"
"Lorenzo Cain","Royals","95","412","371","105","21","2","8","47","45","32","78","5","14","6","",".283",".345",".413",".758",".328","","102","0.7","5.4","","1.8","6.9","2.3","9077"
"Alex Dickerson","Padres","15","59","53","14","3","0","2","6","7","4","11","1","0","0","",".269",".331",".440",".770",".328","","106","0.0","-0.1","","0.4","-1.2","0.1","12649"
"Byung-ho Park","Twins","43","176","156","37","6","0","9","21","24","15","54","3","1","1","",".237",".313",".452",".765",".327","","103","0.0","0.3","","0.6","-4.2","0.2","18497"
"Aaron Hicks","Yankees","74","296","257","65","12","1","9","36","33","33","56","1","7","4","",".254",".340",".411",".751",".327","","104","0.2","2.0","","1.5","1.0","1.3","5297"
"Max Kepler","Twins","113","471","416","108","21","5","13","56","55","46","86","3","7","4","",".259",".335",".425",".760",".327","","103","0.6","-0.1","","2.0","-4.1","1.4","12144"
"Gregory Polanco","Pirates","109","466","415","110","25","2","13","54","55","44","84","2","15","8","",".264",".336",".426",".762",".327","","105","0.7","2.0","","3.6","-2.4","1.6","12907"
"Matt Joyce","Athletics","98","403","338","79","17","1","12","48","43","56","92","4","3","2","",".234",".347",".400",".747",".327","","108","0.2","-4.8","","4.1","-8.9","0.9","3353"
"Albert Pujols","Angels","100","429","390","101","17","0","19","52","63","33","59","3","2","1","",".259",".318",".454",".773",".327","","109","-3.1","0.0","","1.4","-10.6","0.6","1177"
"Pablo Sandoval","Red Sox","79","320","291","79","16","1","10","37","41","22","53","3","2","1","",".272",".327",".434",".761",".327","","99","-1.5","-3.4","","-1.8","-2.8","0.6","5409"
"Derek Dietrich","Marlins","81","325","283","71","14","3","8","36","36","25","68","13","1","1","",".252",".339",".410",".749",".327","","103","0.1","-1.8","","1.3","-1.7","1.0","10542"
"David Dahl","Rockies","61","252","231","63","12","2","7","29","31","17","60","1","7","4","",".272",".323",".439",".762",".327","","85","0.2","0.5","","-4.6","-2.3","0.1","13744"
"Alex Bregman","Astros","107","440","392","103","21","3","12","53","51","37","73","4","7","4","",".263",".331",".425",".756",".327","","106","0.1","-3.7","","3.3","-2.2","1.6","17678"
"Corey Dickerson","Rays","96","410","374","98","22","2","15","50","50","29","95","2","3","2","",".261",".315",".459",".774",".326","","107","-0.1","-0.1","","3.2","-7.3","1.0","10762"
"LaMonte Wade","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".266",".344",".401",".745",".326","","102","0.0","0.0","","0.0","0.0","0.0","sa856280"
"Stephen Cardullo","Rockies","8","29","26","7","1","0","1","3","3","2","5","0","0","0","",".275",".331",".427",".758",".326","","84","0.0","0.0","","-0.6","-0.1","0.0","11204"
"Mike Napoli","Rangers","102","425","364","83","15","1","19","52","56","52","122","4","2","1","",".228",".328",".427",".756",".326","","99","-1.8","0.5","","-2.1","-7.7","0.5","3057"
"Cody Bellinger","Dodgers","84","346","307","75","13","1","15","41","47","32","86","2","5","3","",".244",".318",".445",".763",".326","","106","-0.1","-0.2","","2.5","-5.1","0.9","15998"
"Eugenio Suarez","Reds","105","431","386","99","18","2","15","47","53","36","98","5","6","4","",".256",".324",".430",".755",".326","","100","-0.7","0.8","","-0.9","2.3","1.5","12552"
"Ryan Raburn","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".330",".423",".753",".326","","84","0.0","0.0","","0.0","0.0","0.0","2218"
"Brandon Moss","Royals","101","405","356","82","17","2","19","48","54","40","120","5","2","1","",".231",".315",".447",".762",".325","","101","-0.2","-0.3","","0.1","-10.3","0.4","4467"
"Kole Calhoun","Angels","110","486","432","112","22","2","15","60","55","44","102","4","3","2","",".259",".330",".423",".753",".325","","108","0.9","4.2","","5.3","-0.7","2.2","11200"
"Evan Gattis","Astros","68","276","250","61","12","1","14","34","40","20","62","2","1","1","",".245",".305",".466",".770",".325","","105","-0.8","-0.2","","0.9","-0.7","1.0","11003"
"Brett Gardner","Yankees","94","423","367","94","18","2","10","55","40","45","86","4","10","4","",".257",".343",".399",".741",".325","","102","1.6","1.8","","2.8","-2.3","1.5","9927"
"Yasmany Tomas","Diamondbacks","95","390","360","95","19","2","16","44","54","23","97","2","3","2","",".263",".308",".457",".766",".325","","95","-0.8","-6.9","","-3.0","-10.5","-0.1","17171"
